id	es	en	fr
album-051	Escuchar esta grabación como simple testimonio de una voz deteriorada sería reducirla. Billie Holiday convierte cada límite físico en una decisión interpretativa y obliga a reconsiderar qué entendemos por belleza vocal.	Hearing this recording merely as evidence of a damaged voice would diminish it. Billie Holiday turns every physical limitation into an interpretive choice and asks us to reconsider what vocal beauty can mean.	Réduire cet enregistrement au témoignage d’une voix abîmée serait passer à côté de l’essentiel. Billie Holiday transforme chaque limite physique en choix d’interprétation et oblige à repenser la beauté vocale.
album-052	La tradición del jazz aparece aquí como una conversación que admite desacuerdo, humor y memoria. Mingus honra a quienes lo precedieron sin tratarlos como figuras inmóviles ni renunciar a su propia personalidad.	Jazz tradition appears here as a conversation roomy enough for disagreement, humour and memory. Mingus honours those who came before without freezing them into monuments or surrendering his own personality.	La tradition du jazz devient ici une conversation ouverte au désaccord, à l’humour et à la mémoire. Mingus rend hommage à ses prédécesseurs sans les figer en monuments ni renoncer à sa personnalité.
album-018	Pocas revoluciones musicales han sonado tan discretas. João Gilberto reduce el gesto, acerca la voz al oído y demuestra que cambiar la respiración de una canción puede modificar todo un lenguaje popular.	Few musical revolutions have sounded this discreet. João Gilberto reduces the gesture, brings the voice close to the ear and shows that changing a song’s breathing can reshape an entire popular language.	Peu de révolutions musicales ont paru aussi discrètes. João Gilberto réduit le geste, rapproche la voix de l’oreille et montre qu’une nouvelle respiration peut transformer tout un langage populaire.
album-011	La serenidad de esta sesión no proviene de conocer de antemano cada respuesta. Nace de músicos capaces de tomar decisiones frente a los demás y dejar que la incertidumbre permanezca audible.	The session’s serenity does not come from knowing every answer in advance. It grows from musicians making decisions in one another’s presence and allowing uncertainty to remain audible.	La sérénité de cette séance ne vient pas de réponses connues à l’avance. Elle naît de musiciens qui décident les uns devant les autres et laissent l’incertitude demeurer audible.
album-053	La libertad que propone Ornette Coleman no equivale a tocar sin vínculos. Melodía, blues y escucha colectiva siguen presentes, pero ya no obedecen a una jerarquía armónica que determine cada movimiento.	Ornette Coleman’s freedom is not the absence of bonds. Melody, blues and collective listening remain central, but they no longer submit to a harmonic hierarchy that dictates every move.	La liberté proposée par Ornette Coleman n’est pas l’absence de liens. Mélodie, blues et écoute collective restent centrales, sans plus obéir à une hiérarchie harmonique qui dicterait chaque mouvement.
album-054	La grabación conserva algo más que una actuación extraordinaria. Permite oír cómo un artista, una banda y una audiencia negocian en tiempo real la intensidad de una noche irrepetible.	The recording preserves more than an extraordinary performance. It lets us hear an artist, a band and an audience negotiate the intensity of an unrepeatable night in real time.	L’enregistrement conserve davantage qu’une performance exceptionnelle. Il permet d’entendre un artiste, un groupe et un public négocier en temps réel l’intensité d’une soirée impossible à reproduire.
album-012	La dimensión espiritual no funciona como decoración ni exige compartir una creencia concreta. Coltrane convierte disciplina, gratitud y entrega en una experiencia musical capaz de comunicar antes de ser explicada.	The spiritual dimension is neither decoration nor a demand for shared belief. Coltrane turns discipline, gratitude and surrender into a musical experience that communicates before it can be explained.	La dimension spirituelle n’est ni un décor ni l’exigence d’une croyance commune. Coltrane transforme discipline, gratitude et abandon en expérience musicale, intelligible avant même toute explication.
album-055	Nina Simone se niega a ofrecer una identidad estable para facilitar la escucha. Cada cambio de registro amplía la idea de quién puede hablar dentro de un disco de blues y desde qué emoción.	Nina Simone refuses to offer a stable identity for the listener’s convenience. Every shift of register expands the idea of who may speak within a blues record and from which emotion.	Nina Simone refuse l’identité stable qui faciliterait l’écoute. Chaque changement de registre élargit la question de savoir qui peut parler dans un disque de blues et depuis quelle émotion.
album-056	Detrás de su reputación como prodigio de estudio hay un relato sobre el momento en que la juventud deja de sentirse segura. La sofisticación importa porque vuelve visible esa fractura, no porque la disimule.	Behind its reputation as a studio marvel lies a story about the moment youth stops feeling secure. Sophistication matters because it makes that fracture visible rather than concealing it.	Derrière sa réputation de prodige de studio se trouve le récit d’une jeunesse qui cesse de se croire protégée. La sophistication compte parce qu’elle rend cette fracture visible au lieu de la masquer.
album-013	La imaginación del grupo ya no cabe dentro de la idea de cuatro músicos documentando una interpretación. Cada canción redefine qué puede considerarse una banda y convierte el estudio en parte de la composición.	The group’s imagination no longer fits the idea of four musicians documenting a performance. Each song redefines what a band can be and makes the studio part of composition itself.	L’imagination du groupe ne tient plus dans l’idée de quatre musiciens documentant une interprétation. Chaque chanson redéfinit ce qu’un groupe peut être et intègre le studio à la composition.
album-014	Estas canciones pertenecen al tramo final de la vida de Violeta Parra, pero no suenan como despedida ordenada. Amor, orgullo, violencia y lucidez permanecen juntos sin buscar una conclusión tranquilizadora.	These songs come from the final period of Violeta Parra’s life, yet they offer no orderly farewell. Love, pride, violence and lucidity remain together without seeking a reassuring conclusion.	Ces chansons appartiennent à la dernière période de la vie de Violeta Parra, sans former pour autant un adieu ordonné. Amour, fierté, violence et lucidité coexistent sans conclusion rassurante.
album-015	Un repertorio heredado cambia de sentido cuando Aretha Franklin decide desde qué lugar hablar. El amor deja de exigir obediencia y se convierte en una negociación donde necesidad, orgullo y reciprocidad pueden coexistir.	Inherited repertoire changes meaning when Aretha Franklin decides where she will speak from. Love stops demanding obedience and becomes a negotiation in which need, pride and reciprocity can coexist.	Un répertoire hérité change de sens lorsque Aretha Franklin décide depuis quelle position parler. L’amour cesse d’exiger l’obéissance et devient négociation où besoin, fierté et réciprocité peuvent coexister.
album-016	La ciudad que recorre este debut no ofrece moralejas ni personajes ejemplares. Sus habitantes aparecen con deseo, aburrimiento, riesgo y belleza, observados desde una cercanía que nunca se confunde con aprobación.	The city running through this debut offers neither morals nor exemplary characters. Its inhabitants carry desire, boredom, risk and beauty, observed at close range without mistaking proximity for approval.	La ville qui traverse ce premier album n’offre ni morale ni personnages exemplaires. Ses habitants portent désir, ennui, risque et beauté, observés de près sans que la proximité devienne approbation.
album-057	Jimi Hendrix no trata el estudio como una vitrina para la guitarra. Lo utiliza como un espacio maleable donde interpretación, montaje y electricidad pueden alterar la percepción del tamaño y la distancia.	Jimi Hendrix does not treat the studio as a display case for guitar. He uses it as a malleable space where performance, editing and electricity can alter our sense of scale and distance.	Jimi Hendrix ne traite pas le studio comme une vitrine pour la guitare. Il en fait un espace malléable où jeu, montage et électricité modifient notre perception de l’échelle et de la distance.
album-017	La irreverencia de Os Mutantes no consiste únicamente en mezclar referencias incompatibles. El grupo escucha la cultura popular como material disponible para desmontar, exagerar y volver propio mediante el juego.	Irreverence here means more than mixing incompatible references. Os Mutantes hears popular culture as material to dismantle, exaggerate and claim through play.	L’irrévérence d’Os Mutantes ne tient pas seulement au mélange de références incompatibles. Le groupe entend la culture populaire comme une matière à démonter, exagérer et s’approprier par le jeu.
