id	entry	review_es	listen1_es	listen2_es	review_en	listen1_en	listen2_en	review_fr	listen1_fr	listen2_fr
album-051	I'm a Fool to Want You	Lady in Satin no intenta ocultar el desgaste de Billie Holiday: lo coloca frente a la orquesta de Ray Ellis. Las cuerdas ofrecen una superficie lujosa y la voz responde con respiraciones cortas, retrasos y asperezas. La distancia entre ambas no debilita el disco; convierte cada estándar en una escena sobre deseo, memoria y pérdida.	La fricción entre el brillo orquestal y la voz quebrada.	Cómo una pausa o una consonante final cambian una frase.	Lady in Satin does not try to hide the wear in Billie Holiday’s voice: it places it against Ray Ellis’s orchestra. The strings offer a luxurious surface, answered by short breaths, delays and rough edges. The distance between them does not weaken the record; it turns each standard into a scene about desire, memory and loss.	The friction between orchestral sheen and the weathered voice.	How a pause or final consonant changes a phrase.	Lady in Satin ne cherche pas à masquer l’usure de la voix de Billie Holiday : il la place face à l’orchestre de Ray Ellis. Les cordes offrent une surface luxueuse, à laquelle répondent souffles courts, retards et aspérités. Cette distance ne fragilise pas le disque ; elle transforme chaque standard en scène de désir, de mémoire et de perte.	La friction entre l’éclat orchestral et la voix abîmée.	La manière dont une pause ou une consonne finale modifie une phrase.
album-052	Better Git It in Your Soul	Mingus Ah Um reúne homenaje, góspel, blues y composición moderna sin alisar sus diferencias. Charles Mingus escribe líneas precisas, pero deja que el conjunto las discuta, las empuje y las desborde. La energía del álbum nace de esa tensión entre arquitectura y personalidad: nadie suena como una pieza intercambiable dentro de la banda.	El paso de una línea escrita a una irrupción colectiva.	Cómo el bajo de Mingus cambia la dirección del conjunto.	Mingus Ah Um brings together tribute, gospel, blues and modern composition without smoothing their differences. Charles Mingus writes precise lines, then lets the ensemble argue with, push and overflow them. The album’s energy comes from that tension between architecture and personality: no player sounds interchangeable within the band.	The move from a written line into a collective eruption.	How Mingus’s bass redirects the ensemble.	Mingus Ah Um réunit hommage, gospel, blues et composition moderne sans en lisser les différences. Charles Mingus écrit des lignes précises, puis laisse l’ensemble les discuter, les pousser et les déborder. L’énergie du disque naît de cette tension entre architecture et personnalité : aucun musicien n’y paraît interchangeable.	Le passage d’une ligne écrite à une irruption collective.	La façon dont la basse de Mingus réoriente l’ensemble.
album-053	Lonely Woman	The Shape of Jazz to Come elimina el piano, pero no la estructura. Ornette Coleman y Don Cherry exponen melodías claras mientras bajo y batería sostienen un tiempo móvil que no obliga a los solistas a seguir una cuadrícula armónica. La libertad aquí no consiste en tocar sin reglas, sino en escuchar cómo una frase modifica las decisiones de los demás.	La tensión entre el tema al unísono y el pulso cambiante.	La diferencia de timbre entre Coleman y Cherry.	The Shape of Jazz to Come removes the piano, not structure. Ornette Coleman and Don Cherry state clear melodies while bass and drums sustain a mobile time that does not force the soloists through a harmonic grid. Freedom here does not mean playing without rules, but hearing how one phrase changes everyone else’s decisions.	The tension between the unison theme and the shifting pulse.	The contrast in timbre between Coleman and Cherry.	The Shape of Jazz to Come supprime le piano, pas la structure. Ornette Coleman et Don Cherry exposent des mélodies nettes tandis que basse et batterie maintiennent un temps mobile qui n’enferme pas les solistes dans une grille harmonique. La liberté consiste ici à entendre comment une phrase transforme les décisions de tous les autres.	La tension entre le thème à l’unisson et la pulsation mouvante.	Le contraste de timbre entre Coleman et Cherry.
album-054	Lost Someone	Live at the Apollo documenta un concierto, pero sobre todo revela un sistema de control. James Brown dirige entradas, cortes, repeticiones y cambios de intensidad mientras parece entregarse por completo al público. La banda responde en fracciones de segundo y la audiencia deja de ser fondo: su reacción modifica la duración y la temperatura emocional de cada pasaje.	Las señales con que Brown detiene o reactiva a la banda.	El momento en que el público altera la dinámica del concierto.	Live at the Apollo documents a concert, but above all it reveals a system of control. James Brown directs entrances, stops, repetitions and shifts in intensity while appearing to surrender completely to the crowd. The band responds in fractions of a second, and the audience stops being background: its reaction changes the length and emotional temperature of each passage.	The cues Brown uses to stop or restart the band.	The moment the audience changes the concert’s dynamics.	Live at the Apollo documente un concert, mais révèle surtout un système de contrôle. James Brown dirige entrées, arrêts, répétitions et changements d’intensité tout en semblant s’abandonner entièrement au public. Le groupe répond en une fraction de seconde et la salle cesse d’être un décor : sa réaction modifie la durée et la température émotionnelle de chaque passage.	Les signaux par lesquels Brown arrête ou relance le groupe.	Le moment où le public transforme la dynamique du concert.
album-055	Be My Husband	Pastel Blues se mueve entre blues, espirituales, estándares y canción popular sin buscar una superficie uniforme. Nina Simone cambia de registro según lo exige cada pieza: puede sonar seca, ceremonial, vulnerable o implacable. El disco conserva esas rupturas y culmina en una interpretación extensa donde repetición y aceleración convierten la insistencia en trance.	El uso del cuerpo y la percusión como acompañamiento mínimo.	Cómo la repetición aumenta la presión sin cambiar de tema.	Pastel Blues moves among blues, spirituals, standards and popular song without seeking a uniform surface. Nina Simone changes register according to each piece: she can sound dry, ceremonial, vulnerable or implacable. The record preserves those breaks and culminates in an extended performance where repetition and acceleration turn insistence into trance.	The use of body and percussion as minimal accompaniment.	How repetition increases pressure without changing the theme.	Pastel Blues circule entre blues, spirituals, standards et chanson populaire sans chercher une surface uniforme. Nina Simone change de registre selon les besoins de chaque pièce : sèche, cérémonielle, vulnérable ou implacable. Le disque conserve ces ruptures et culmine dans une longue interprétation où répétition et accélération transforment l’insistance en transe.	L’usage du corps et des percussions comme accompagnement minimal.	La façon dont la répétition augmente la pression sans changer de thème.
album-056	I Just Wasn't Made for These Times	Pet Sounds utiliza recursos de gran producción para hablar de inseguridad, deseo y dificultad para pertenecer. Brian Wilson no trata la orquesta como decoración: bajos melódicos, percusiones domésticas, cuerdas, metales y voces forman habitaciones distintas para cada canción. La precisión del estudio hace más visible la vulnerabilidad, no menos espontánea.	Los bajos que responden a la melodía en vez de limitarse a sostenerla.	Las percusiones pequeñas escondidas dentro de arreglos densos.	Pet Sounds uses large-scale production to speak about insecurity, desire and the difficulty of belonging. Brian Wilson does not treat the orchestra as decoration: melodic basses, domestic percussion, strings, horns and voices form a different room for each song. Studio precision makes vulnerability more visible rather than less spontaneous.	Bass lines that answer the melody instead of merely supporting it.	Small percussion sounds hidden inside dense arrangements.	Pet Sounds mobilise une production de grande ampleur pour parler d’insécurité, de désir et de difficulté à trouver sa place. Brian Wilson ne traite pas l’orchestre comme un décor : basses mélodiques, percussions domestiques, cordes, cuivres et voix construisent une pièce différente pour chaque chanson. La précision du studio rend la vulnérabilité plus visible, non moins spontanée.	Les lignes de basse qui répondent à la mélodie au lieu de seulement la soutenir.	Les petites percussions dissimulées dans les arrangements denses.
album-057	1983... (A Merman I Should Turn to Be)	Electric Ladyland no es únicamente una exhibición de guitarra. Jimi Hendrix usa el estudio para volver el blues un espacio líquido: las voces se duplican, la profundidad cambia, los instrumentos cruzan el campo estéreo y una improvisación puede transformarse en paisaje. La técnica importa porque altera la percepción de distancia, tiempo y escala.	Los desplazamientos entre primer plano y fondo dentro de la mezcla.	Cómo la guitarra alterna función rítmica, melódica y ambiental.	Electric Ladyland is not merely a guitar showcase. Jimi Hendrix uses the studio to turn blues into a liquid space: voices double, depth changes, instruments cross the stereo field and an improvisation can become landscape. Technique matters because it alters the perception of distance, time and scale.	The shifts between foreground and background within the mix.	How the guitar alternates rhythmic, melodic and environmental roles.	Electric Ladyland n’est pas seulement une démonstration de guitare. Jimi Hendrix utilise le studio pour transformer le blues en espace liquide : les voix se dédoublent, la profondeur varie, les instruments traversent le champ stéréo et une improvisation devient paysage. La technique compte parce qu’elle modifie la perception de la distance, du temps et de l’échelle.	Les déplacements entre premier plan et arrière-plan dans le mixage.	La façon dont la guitare alterne fonctions rythmique, mélodique et atmosphérique.
album-058	Astral Weeks	Astral Weeks parece avanzar sin un mapa fijo. La voz de Van Morrison corre, repite palabras y cambia de dirección mientras el conjunto la acompaña con una flexibilidad poco habitual. Las canciones no resuelven sus imágenes; las rodean hasta que recuerdo, lugar y deseo empiezan a confundirse.	La independencia del contrabajo respecto de la guitarra.	Las sílabas que Morrison estira hasta perder su sentido literal.	Astral Weeks seems to move without a fixed map. Van Morrison’s voice rushes, repeats words and changes direction while the ensemble follows with unusual flexibility. The songs never resolve their images; they circle them until memory, place and desire begin to blur.	The double bass’s independence from the guitar.	Syllables Morrison stretches until they lose their literal meaning.	Astral Weeks semble avancer sans carte fixe. La voix de Van Morrison court, répète des mots et change de direction tandis que l’ensemble la suit avec une souplesse inhabituelle. Les chansons ne résolvent pas leurs images; elles les entourent jusqu’à brouiller mémoire, lieu et désir.	L’indépendance de la contrebasse par rapport à la guitare.	Les syllabes que Morrison étire jusqu’à leur faire perdre leur sens littéral.
album-059	Panis et Circenses	Tropicália ou Panis et Circencis funciona como manifiesto colectivo y como collage irreverente. Canción brasileña, rock, arreglos orquestales, publicidad, marcha y ruido doméstico aparecen sin pedir permiso ni conservar jerarquías. La ruptura no busca borrar la tradición: la corta, la exagera y la vuelve material para imaginar un presente contradictorio.	Los cambios abruptos de escena dentro de una misma canción.	La convivencia entre arreglos refinados y sonidos deliberadamente ordinarios.	Tropicália ou Panis et Circencis works as both collective manifesto and irreverent collage. Brazilian song, rock, orchestral arrangements, advertising, marches and domestic noise appear without permission or hierarchy. Rupture does not seek to erase tradition: it cuts, exaggerates and turns it into material for imagining a contradictory present.	Abrupt scene changes within a single song.	The coexistence of refined arrangements and deliberately ordinary sounds.	Tropicália ou Panis et Circencis agit à la fois comme manifeste collectif et collage irrévérencieux. Chanson brésilienne, rock, arrangements orchestraux, publicité, marche et bruits domestiques apparaissent sans permission ni hiérarchie. La rupture ne cherche pas à effacer la tradition : elle la découpe, l’exagère et en fait la matière d’un présent contradictoire.	Les changements brusques de scène au sein d’une même chanson.	La coexistence d’arrangements raffinés et de sons volontairement ordinaires.
album-060	River Man	Five Leaves Left trata la intimidad como un problema de equilibrio. La guitarra de Nick Drake utiliza afinaciones y patrones que rara vez descansan donde se espera; los arreglos de Robert Kirby entran como una corriente paralela, no como un marco sentimental. La voz permanece cercana y sobria incluso cuando la armonía abre espacios extraños.	Los bajos internos que Drake hace aparecer dentro del patrón de guitarra.	Las cuerdas que contradicen, en lugar de duplicar, la melodía.	Five Leaves Left treats intimacy as a problem of balance. Nick Drake’s guitar uses tunings and patterns that rarely settle where expected; Robert Kirby’s arrangements enter like a parallel current rather than a sentimental frame. The voice remains close and restrained even as the harmony opens unfamiliar spaces.	The inner bass lines Drake draws from the guitar pattern.	Strings that contradict rather than double the melody.	Five Leaves Left traite l’intimité comme un problème d’équilibre. La guitare de Nick Drake emploie des accordages et des motifs qui se posent rarement là où on les attend ; les arrangements de Robert Kirby entrent comme un courant parallèle, non comme un cadre sentimental. La voix reste proche et sobre tandis que l’harmonie ouvre des espaces étranges.	Les lignes de basse intérieures que Drake fait surgir du motif de guitare.	Les cordes qui contredisent la mélodie au lieu de la doubler.
album-061	The Creator Has a Master Plan	Karma hace de la duración una práctica espiritual. Pharoah Sanders presenta motivos sencillos y permite que saxofón, percusión, voces y bajo los repitan, erosionen y reconstruyan. El crecimiento no es lineal: la música alcanza picos de intensidad, vuelve a respirar y recuerda que el éxtasis también necesita espacio.	Las reapariciones del tema después de los pasajes más densos.	La cantidad de pulsos simultáneos dentro de la percusión.	Karma turns duration into a spiritual practice. Pharoah Sanders presents simple motifs and lets saxophone, percussion, voices and bass repeat, erode and rebuild them. Growth is not linear: the music reaches peaks of intensity, breathes again and remembers that ecstasy also needs space.	The theme’s returns after the densest passages.	The number of simultaneous pulses within the percussion.	Karma fait de la durée une pratique spirituelle. Pharoah Sanders présente des motifs simples et laisse saxophone, percussions, voix et basse les répéter, les éroder et les reconstruire. La progression n’est pas linéaire : la musique atteint des sommets d’intensité, reprend son souffle et rappelle que l’extase a elle aussi besoin d’espace.	Les retours du thème après les passages les plus denses.	Le nombre de pulsations simultanées dans les percussions.
album-062	War Pigs	Paranoid fijó una gramática del heavy metal, pero su fuerza está en la variedad. Black Sabbath puede construir riffs de peso físico, abrir espacios casi silenciosos o dejar que la batería de Bill Ward introduzca un swing inesperado. La oscuridad no depende solo de la distorsión: nace de la forma en que cada canción administra espera y descarga.	Los silencios que hacen más pesado el regreso de un riff.	El movimiento de la batería dentro de figuras aparentemente rígidas.	Paranoid established a grammar for heavy metal, but its force lies in variety. Black Sabbath can build riffs with physical weight, open almost silent spaces or let Bill Ward’s drumming introduce unexpected swing. Darkness does not depend on distortion alone; it comes from how each song manages anticipation and release.	The silences that make a riff’s return feel heavier.	The drummer’s movement inside seemingly rigid figures.	Paranoid a fixé une grammaire du heavy metal, mais sa force tient à sa variété. Black Sabbath construit des riffs au poids physique, ouvre des espaces presque silencieux et laisse la batterie de Bill Ward introduire un swing inattendu. L’obscurité ne dépend pas seulement de la distorsion : elle naît de la manière dont chaque chanson organise attente et décharge.	Les silences qui alourdissent le retour d’un riff.	Le mouvement de la batterie à l’intérieur de figures apparemment rigides.
album-063	Journey in Satchidananda	Journey in Satchidananda crea una música contemplativa sin inmovilizarla. El arpa de Alice Coltrane, la tambura y el bajo modal establecen un centro continuo; flauta, saxofón y percusión desplazan el color alrededor de él. La espiritualidad del disco no es un tema añadido: está en su manera de escuchar repetición, resonancia y tiempo.	El arpa como impulso rítmico, no solo como brillo.	Las variaciones de color sobre un bajo casi inmutable.	Journey in Satchidananda creates contemplative music without making it still. Alice Coltrane’s harp, tambura and modal bass establish a continuous centre; flute, saxophone and percussion shift colour around it. Spirituality is not an added subject here: it lives in the record’s way of hearing repetition, resonance and time.	The harp as rhythmic propulsion, not merely shimmer.	Changes in colour over an almost unchanging bass.	Journey in Satchidananda crée une musique contemplative sans l’immobiliser. La harpe d’Alice Coltrane, la tambura et la basse modale établissent un centre continu ; flûte, saxophone et percussions en déplacent la couleur. La spiritualité n’est pas un thème ajouté : elle réside dans une écoute de la répétition, de la résonance et du temps.	La harpe comme impulsion rythmique, pas seulement comme éclat.	Les changements de couleur sur une basse presque immuable.
album-064	Halleluhwah	Tago Mago conserva la energía de una banda tocando junta y, al mismo tiempo, la somete al corte y al montaje. Can construye grooves de enorme precisión sin volverlos previsibles; la voz de Damo Suzuki introduce sílabas, respiraciones y estallidos que funcionan como material rítmico. La edición no corrige la improvisación: descubre formas ocultas dentro de ella.	La estabilidad de Jaki Liebezeit frente al caos aparente.	Los cortes de cinta que cambian espacio y escala.	Tago Mago preserves the energy of a band playing together while subjecting it to cutting and montage. Can builds grooves of enormous precision without making them predictable; Damo Suzuki’s voice adds syllables, breaths and eruptions that function as rhythmic material. Editing does not correct improvisation: it discovers hidden forms within it.	Jaki Liebezeit’s stability against the apparent chaos.	Tape edits that change space and scale.	Tago Mago conserve l’énergie d’un groupe jouant ensemble tout en la soumettant au découpage et au montage. Can construit des grooves d’une immense précision sans les rendre prévisibles ; la voix de Damo Suzuki apporte syllabes, souffles et éclats comme matière rythmique. Le montage ne corrige pas l’improvisation : il en révèle les formes cachées.	La stabilité de Jaki Liebezeit face au chaos apparent.	Les coupes de bande qui modifient l’espace et l’échelle.
