id	review_es	listen1_es	listen2_es	review_en	listen1_en	listen2_en	review_fr	listen1_fr	listen2_fr
song-011	Strange Fruit obliga a escuchar una escena que el entretenimiento estadounidense prefería mantener fuera del escenario. Billie Holiday canta con una quietud casi ritual: no embellece las imágenes ni ofrece alivio, y el pequeño arreglo avanza como una procesión que deja cada palabra expuesta.	La trompeta amortiguada que prepara un espacio sombrío antes de la voz.	El modo en que la última palabra de cada estrofa queda suspendida.	Strange Fruit forces the listener to face a scene American entertainment preferred to keep offstage. Billie Holiday sings with an almost ritual stillness: she neither prettifies the images nor offers relief, while the small arrangement moves like a procession that leaves every word exposed.	The muted trumpet creating a sombre space before the vocal enters.	The way the final word of each stanza is left hanging.	Strange Fruit impose d’écouter une scène que le divertissement américain préférait tenir hors de ses scènes. Billie Holiday chante avec une immobilité presque rituelle : elle n’embellit aucune image et n’offre aucun soulagement, tandis que le petit ensemble avance comme une procession qui laisse chaque mot à nu.	La trompette bouchée qui installe un espace sombre avant l’entrée de la voix.	La manière dont le dernier mot de chaque strophe reste en suspens.
song-012	La vie en rose no depende solo de una melodía memorable: Édith Piaf hace que la promesa amorosa parezca recién descubierta. Su fraseo pasa de la confidencia al despliegue sin perder cercanía, mientras la orquesta amplía la emoción con discreción y evita convertirla en postal.	La pequeña demora con que Piaf entra sobre algunas frases.	El crecimiento de la orquesta alrededor de la voz, nunca delante de ella.	La vie en rose depends on more than a memorable melody: Édith Piaf makes its promise of love sound newly discovered. Her phrasing moves from confidence to full projection without losing intimacy, while the orchestra enlarges the emotion discreetly and keeps it from becoming a postcard.	Piaf’s slight delay as she enters certain phrases.	The orchestra growing around the voice, never in front of it.	La vie en rose ne repose pas seulement sur une mélodie mémorable : Édith Piaf donne l’impression de découvrir la promesse amoureuse au moment même où elle la chante. Son phrasé passe de la confidence à l’élan sans perdre sa proximité, tandis que l’orchestre amplifie discrètement l’émotion et lui évite de devenir une carte postale.	Le léger retard avec lequel Piaf aborde certaines phrases.	La montée de l’orchestre autour de la voix, jamais devant elle.
song-051	Hoochie Coochie Man convierte una lista de presagios y conquistas en arquitectura musical. Muddy Waters ocupa los silencios con autoridad, Willie Dixon responde con uno de los riffs más reconocibles del blues eléctrico y la banda reserva su fuerza para ataques breves; la tensión nace de todo lo que se retiene.	Los cortes secos que separan cada declaración de su respuesta instrumental.	La armónica que ensancha el riff sin competir con la voz.	Hoochie Coochie Man turns a catalogue of omens and conquests into musical architecture. Muddy Waters occupies the silences with authority, Willie Dixon answers with one of electric blues’s defining riffs, and the band saves its force for brief attacks; the tension comes from everything held back.	The abrupt stops separating each declaration from its instrumental reply.	The harmonica widening the riff without competing with the voice.	Hoochie Coochie Man transforme un catalogue de présages et de conquêtes en architecture musicale. Muddy Waters occupe les silences avec autorité, Willie Dixon répond par l’un des riffs fondateurs du blues électrique et le groupe réserve sa puissance à de brèves attaques ; la tension naît de tout ce qui est retenu.	Les arrêts nets qui séparent chaque déclaration de sa réponse instrumentale.	L’harmonica qui élargit le riff sans rivaliser avec la voix.
song-052	Chega de Saudade parece hablar en voz baja, pero su revolución está en la relación exacta entre cuerpo y tiempo. João Gilberto reduce la samba a una guitarra que contiene percusión, armonía y contratiempo; sobre ella, la voz evita el dramatismo y hace que la saudade suene móvil, no inmóvil.	El pulgar que marca el bajo mientras los acordes desplazan el acento.	Las consonantes suaves con las que la voz conserva intimidad incluso al crecer la melodía.	Chega de Saudade seems to speak quietly, yet its revolution lies in the exact relationship between body and time. João Gilberto reduces samba to a guitar containing percussion, harmony and syncopation; above it, the voice avoids drama and makes saudade sound mobile rather than fixed.	The thumb marking the bass while the chords displace the accent.	The soft consonants that keep the vocal intimate as the melody rises.	Chega de Saudade semble parler à voix basse, mais sa révolution réside dans la relation précise entre le corps et le temps. João Gilberto réduit la samba à une guitare qui réunit percussion, harmonie et contretemps ; au-dessus, la voix refuse le pathos et rend la saudade mobile plutôt qu’immobile.	Le pouce qui marque la basse pendant que les accords déplacent l’accent.	Les consonnes douces qui préservent l’intimité de la voix lorsque la mélodie s’élève.
song-053	What’d I Say empieza como una figura de piano eléctrico y termina como una experiencia compartida. Ray Charles enlaza gospel, blues y baile sin suavizar sus fricciones: cada llamada exige una respuesta más intensa, y la grabación deja oír cómo la banda y las voces convierten la repetición en temperatura.	El timbre percusivo del Wurlitzer, a medio camino entre teclado y sección rítmica.	Los gemidos y respuestas que borran la frontera entre solista, coro y público.	What’d I Say begins as an electric-piano figure and ends as a shared experience. Ray Charles links gospel, blues and dance without smoothing their friction: every call demands a stronger answer, and the recording lets us hear band and voices turn repetition into temperature.	The percussive Wurlitzer tone, halfway between keyboard and rhythm section.	The moans and replies that erase the border among soloist, chorus and audience.	What’d I Say commence par une figure de piano électrique et s’achève en expérience collective. Ray Charles relie gospel, blues et danse sans en lisser les frottements : chaque appel exige une réponse plus intense, et l’enregistrement laisse entendre le groupe et les voix transformer la répétition en température.	Le timbre percussif du Wurlitzer, à mi-chemin entre clavier et section rythmique.	Les gémissements et les réponses qui effacent la frontière entre soliste, chœur et public.
song-013	A Change Is Gonna Come sostiene esperanza y agotamiento en la misma respiración. Sam Cooke lleva la elegancia de su canto hacia un relato atravesado por racismo, miedo y perseverancia; las cuerdas y los metales le dan dimensión histórica, pero son los pequeños quiebres de la voz los que impiden que la canción se vuelva monumento.	La entrada descendente de las cuerdas, solemne sin anunciar triunfo.	El cambio de peso en “It’s been too hard living”, donde la certeza se vuelve experiencia física.	A Change Is Gonna Come holds hope and exhaustion in the same breath. Sam Cooke brings the elegance of his singing to a story marked by racism, fear and perseverance; strings and brass give it historical scale, but the small breaks in his voice keep the song from hardening into a monument.	The descending string entrance, solemn without announcing victory.	The change of weight on “It’s been too hard living”, where conviction becomes physical experience.	A Change Is Gonna Come tient l’espoir et l’épuisement dans un même souffle. Sam Cooke met l’élégance de son chant au service d’un récit traversé par le racisme, la peur et la persévérance ; cordes et cuivres lui donnent une ampleur historique, mais les petites fêlures de la voix l’empêchent de se figer en monument.	L’entrée descendante des cordes, solennelle sans annoncer de victoire.	Le changement de poids sur « It’s been too hard living », où la conviction devient expérience physique.
song-014	Like a Rolling Stone no ofrece distancia entre la acusación y quien la escucha. La caja abre de golpe, el órgano de Al Kooper mantiene una luz inestable alrededor de los versos y Bob Dylan estira cada pregunta hasta que el estribillo deja de ser un remate: se convierte en caída libre.	El órgano que entra ligeramente detrás del pulso y da movimiento a los acordes.	La forma en que cada verso acumula detalles antes de soltar la pregunta central.	Like a Rolling Stone offers no distance between its accusation and the listener. The snare opens the door at once, Al Kooper’s organ casts an unstable light around the verses, and Bob Dylan stretches every question until the chorus stops being a payoff and becomes free fall.	The organ entering slightly behind the beat and setting the chords in motion.	The way each verse piles up detail before releasing the central question.	Like a Rolling Stone ne laisse aucune distance entre l’accusation et la personne qui écoute. La caisse claire ouvre brusquement la porte, l’orgue d’Al Kooper maintient une lumière instable autour des couplets et Bob Dylan étire chaque question jusqu’à ce que le refrain cesse d’être une conclusion pour devenir une chute libre.	L’orgue qui entre légèrement derrière le temps et met les accords en mouvement.	La façon dont chaque couplet accumule les détails avant de libérer la question centrale.
song-018	Sinnerman transforma una súplica espiritual en persecución. Nina Simone establece un patrón de piano que parece inagotable y, durante más de diez minutos, cambia su significado mediante la voz, las palmas y la percusión; cuando el teclado se vuelve casi metálico, la búsqueda de refugio ya ocurre dentro del sonido.	La aceleración imperceptible con la que el ostinato pasa de apoyo a amenaza.	El tramo de palmas y percusión, donde la ausencia momentánea de la voz aumenta la urgencia.	Sinnerman turns a spiritual plea into a chase. Nina Simone establishes a seemingly inexhaustible piano pattern and, for more than ten minutes, changes its meaning through voice, handclaps and percussion; when the keyboard becomes almost metallic, the search for refuge is already happening inside the sound.	The nearly imperceptible acceleration that turns the ostinato from support into threat.	The handclap-and-percussion passage, where the voice’s temporary absence heightens the urgency.	Sinnerman transforme une supplication spirituelle en poursuite. Nina Simone installe un motif de piano apparemment inépuisable et, pendant plus de dix minutes, en modifie le sens par la voix, les claquements de mains et les percussions ; lorsque le clavier devient presque métallique, la recherche d’un refuge se déroule déjà à l’intérieur du son.	L’accélération presque imperceptible qui fait passer l’ostinato du soutien à la menace.	Le passage de claquements de mains et de percussions, où l’absence momentanée de la voix renforce l’urgence.
song-054	Volver a los 17 imagina el amor no como juventud recuperada, sino como una fuerza capaz de desarmar el conocimiento adulto. Violeta Parra enlaza imágenes naturales, contradicciones y una melodía de raíz popular con una voz sin ornamento; el compás que gira sobre sí mismo hace creíble ese regreso imposible.	La acentuación ternaria que mece la letra sin volverla ligera.	Las palabras que Parra prolonga apenas, como si descubriera su sentido al cantarlas.	Volver a los 17 imagines love not as youth recovered but as a force capable of undoing adult knowledge. Violeta Parra links natural images, contradictions and a folk-rooted melody with an unadorned voice; the metre circling back on itself makes that impossible return believable.	The triple accent that rocks the lyric without making it weightless.	The words Parra lengthens slightly, as though discovering their meaning while singing them.	Volver a los 17 imagine l’amour non comme une jeunesse retrouvée, mais comme une force capable de défaire le savoir adulte. Violeta Parra relie images naturelles, contradictions et mélodie populaire avec une voix sans ornement ; la mesure qui revient sur elle-même rend crédible cet impossible retour.	L’accentuation ternaire qui berce le texte sans l’alléger.	Les mots que Parra prolonge à peine, comme si elle en découvrait le sens en les chantant.
song-016	Respect cambia el centro moral de una canción ya existente. Aretha Franklin no espera reconocimiento: organiza piano, metales, coro y deletreo para exigirlo. La precisión del arreglo permite que el humor, el deseo y la autoridad convivan, y que una experiencia doméstica adquiera una fuerza pública sin perder su cuerpo.	Las voces de respuesta que corrigen, empujan y celebran a la solista.	El “sock it to me”, donde ritmo y lenguaje se vuelven una sola demanda.	Respect shifts the moral centre of an existing song. Aretha Franklin does not wait for recognition: she organizes piano, horns, chorus and spelling to demand it. The arrangement’s precision lets humour, desire and authority coexist, turning a domestic experience into public force without losing its body.	The answering voices that correct, propel and celebrate the lead.	The “sock it to me” passage, where rhythm and language become one demand.	Respect déplace le centre moral d’une chanson préexistante. Aretha Franklin n’attend pas la reconnaissance : elle organise piano, cuivres, chœur et épellation pour l’exiger. La précision de l’arrangement fait coexister humour, désir et autorité, transformant une expérience domestique en force publique sans lui retirer son corps.	Les voix de réponse qui corrigent, propulsent et célèbrent la soliste.	Le passage « sock it to me », où rythme et langage deviennent une même exigence.
