id	es	en	fr
song-011	Las pausas que Holiday deja después de cada frase convierten al pequeño conjunto en parte del drama, no en simple acompañamiento.	Holiday’s pauses after each phrase make the small ensemble part of the drama rather than mere accompaniment.	Les silences laissés par Holiday après chaque phrase font du petit ensemble une part du drame, et non un simple accompagnement.
song-012	El vibrato de Piaf alarga las vocales sin detener la melodía; esa tensión vuelve íntima una interpretación de gran escala.	Piaf’s vibrato stretches the vowels without stopping the melody; that tension makes a large-scale performance feel intimate.	Le vibrato de Piaf étire les voyelles sans arrêter la mélodie ; cette tension rend intime une interprétation de grande ampleur.
song-051	El riff entrecortado deja huecos para que cada afirmación de Muddy Waters reciba una respuesta inmediata de la banda.	The stop-time riff leaves gaps so that every Muddy Waters declaration receives an immediate answer from the band.	Le riff en stop-time ménage des vides afin que chaque affirmation de Muddy Waters reçoive une réponse immédiate du groupe.
song-001	El arranque de guitarra condensa ataque, ritmo y melodía en una frase que pone en marcha todo el relato.	The guitar opening condenses attack, rhythm and melody into one phrase that sets the whole story in motion.	L’ouverture à la guitare condense attaque, rythme et mélodie dans une phrase qui met tout le récit en mouvement.
song-052	La guitarra sincopada se adelanta y se retrasa respecto de la voz, creando la respiración flexible que define la bossa nova.	The syncopated guitar moves ahead of and behind the voice, creating the flexible breathing that defines bossa nova.	La guitare syncopée avance et recule par rapport à la voix, créant la respiration souple qui définit la bossa nova.
song-053	La figura del piano eléctrico inicia un diálogo de llamada y respuesta que crece hasta convertir al público en parte del arreglo.	The electric-piano figure starts a call-and-response exchange that grows until the audience becomes part of the arrangement.	La figure du piano électrique lance un jeu d’appel et de réponse qui grandit jusqu’à intégrer le public à l’arrangement.
song-013	Las cuerdas abren un horizonte solemne mientras Cooke pasa de la fragilidad a la certeza sin perder humanidad.	The strings open a solemn horizon while Cooke moves from fragility to certainty without losing his humanity.	Les cordes ouvrent un horizon solennel tandis que Cooke passe de la fragilité à la certitude sans perdre son humanité.
song-014	El golpe inicial de batería abre la puerta para que el órgano rodee cada verso y mantenga la canción en movimiento.	The opening drum crack makes room for the organ to circle every verse and keep the song moving.	Le coup de batterie initial ouvre l’espace où l’orgue entoure chaque couplet et maintient le morceau en mouvement.
song-018	El ostinato de piano acelera poco a poco hasta desembocar en palmas, percusión y una sensación casi física de persecución.	The piano ostinato gradually accelerates into handclaps, percussion and an almost physical sense of pursuit.	L’ostinato de piano accélère progressivement jusqu’aux claquements de mains, aux percussions et à une sensation presque physique de poursuite.
song-054	El vaivén ternario de la guitarra sostiene una melodía que parece regresar sobre sí misma cada vez con un sentido distinto.	The guitar’s triple-meter sway supports a melody that seems to return to itself each time with a different meaning.	Le balancement ternaire de la guitare soutient une mélodie qui semble revenir sur elle-même avec un sens différent à chaque passage.
song-016	El deletreo y las respuestas del coro transforman una petición personal en una afirmación colectiva imposible de separar del ritmo.	The spelled-out hook and backing responses turn a personal request into a collective statement inseparable from the groove.	Le mot épelé et les réponses des chœurs transforment une demande personnelle en affirmation collective, indissociable du groove.
song-055	El énfasis en el primer tiempo reorganiza guitarra, bajo y batería alrededor de un golpe común: ahí comienza buena parte del funk moderno.	The emphasis on the first beat reorganizes guitar, bass and drums around one shared hit: much of modern funk begins there.	L’accent placé sur le premier temps réorganise guitare, basse et batterie autour d’un impact commun : une grande part du funk moderne commence là.
song-017	Los ascensos orquestales unen dos escenas de pulso distinto y convierten el montaje del estudio en parte de la composición.	The orchestral rises connect two scenes with different pulses and turn studio montage into part of the composition.	Les montées orchestrales relient deux scènes aux pulsations différentes et font du montage en studio une partie de la composition.
song-019	El bajo y las cuerdas sostienen una sensación de distancia mientras la voz permanece contenida, como una comunicación que nunca termina de llegar.	Bass and strings sustain a sense of distance while the voice stays restrained, like a message that never quite arrives.	La basse et les cordes entretiennent une sensation de distance tandis que la voix reste contenue, comme un message qui n’arrive jamais tout à fait.
song-056	La guitarra saturada roza la percusión de samba sin cubrirla; el choque entre ambas texturas produce el impulso de la canción.	The saturated guitar brushes against the samba percussion without covering it; their collision supplies the song’s momentum.	La guitare saturée frôle les percussions de samba sans les couvrir ; la collision des deux textures donne son élan au morceau.
song-057	La repetición propia de una canción de cuna vuelve más inquietante el contraste entre la ternura de la voz y la dureza del relato.	The repetition of a lullaby makes the contrast between the tenderness of the voice and the harshness of the story more unsettling.	La répétition propre à une berceuse rend plus troublant le contraste entre la tendresse de la voix et la dureté du récit.
song-058	La melodía sube y desciende con naturalidad mientras el arreglo deja aire alrededor de Fairuz, haciendo que la nostalgia parezca movimiento.	The melody rises and falls naturally while the arrangement leaves air around Fairuz, making nostalgia feel like motion.	La mélodie monte et descend avec naturel tandis que l’arrangement laisse de l’air autour de Fairuz, donnant à la nostalgie la forme d’un mouvement.
song-059	Las palabras esdrújulas cierran cada verso con una lógica implacable mientras la orquestación acumula presión hasta casi desbordarse.	The proparoxytone endings lock each verse into place while the orchestration keeps building pressure toward overflow.	Les fins de vers proparoxytones imposent une logique implacable tandis que l’orchestration accumule la pression jusqu’au débordement.
song-060	El punteo de guitarra deja silencios alrededor de una voz muy cercana; lo que no se toca pesa tanto como cada acorde.	The fingerpicked guitar leaves silence around a very close voice; what remains unplayed carries as much weight as each chord.	La guitare en arpèges laisse du silence autour d’une voix très proche ; ce qui n’est pas joué pèse autant que chaque accord.
song-061	Las frases acústicas se separan con suficiente aire para que cada imagen aparezca y desaparezca sin necesidad de subrayarla.	The acoustic phrases leave enough air for each image to appear and disappear without needing to be underlined.	Les phrases acoustiques laissent assez d’air pour que chaque image apparaisse puis disparaisse sans qu’il soit nécessaire de la souligner.
song-062	Bajo y congas mantienen un pulso contenido mientras las voces superpuestas convierten el cansancio individual en comentario colectivo.	Bass and congas hold a restrained pulse while layered voices turn individual exhaustion into collective commentary.	La basse et les congas maintiennent une pulsation retenue tandis que les voix superposées transforment la fatigue individuelle en commentaire collectif.
song-063	El bajo eléctrico arrastra la narración hacia adelante mientras cuerdas y voz permanecen suspendidas entre seducción e incomodidad.	The electric bass pulls the narration forward while strings and voice remain suspended between seduction and unease.	La basse électrique entraîne le récit tandis que les cordes et la voix restent suspendues entre séduction et malaise.
song-064	El motivo de piano parece inmóvil hasta que la voz y la orquestación amplían gradualmente su escala emocional.	The piano motif seems motionless until the voice and orchestration gradually widen its emotional scale.	Le motif de piano paraît immobile jusqu’à ce que la voix et l’orchestration en élargissent progressivement l’échelle émotionnelle.
song-065	El swing relajado de la samba permite que guitarras y voces intercambien el primer plano sin romper la sensación comunitaria.	The relaxed samba swing lets guitars and voices exchange the foreground without breaking the communal feeling.	Le swing détendu de la samba permet aux guitares et aux voix d’échanger le premier plan sans rompre la sensation collective.
song-023	El patrón de guitarra no afloja durante la súplica; su insistencia rítmica expresa una ansiedad que la voz intenta controlar.	The guitar pattern never loosens beneath the plea; its rhythmic insistence expresses an anxiety the voice tries to control.	Le motif de guitare ne relâche jamais la supplication ; son insistance rythmique exprime une anxiété que la voix tente de maîtriser.
song-066	La guitarra de blues y el fraseo seco de Spinetta convierten una escena sombría en algo íntimo, irónico y extrañamente ligero.	The blues guitar and Spinetta’s dry phrasing turn a dark scene into something intimate, ironic and strangely light.	La guitare blues et le phrasé sec de Spinetta transforment une scène sombre en quelque chose d’intime, d’ironique et d’étrangement léger.
song-067	Las dos voces se pasan palabras, silencios y finales de frase hasta que la conversación misma se vuelve el ritmo principal.	The two voices trade words, silences and phrase endings until the conversation itself becomes the main rhythm.	Les deux voix échangent mots, silences et fins de phrase jusqu’à ce que la conversation elle-même devienne le rythme principal.
song-068	La repetición circular del estribillo se apoya en guitarra y percusión para convertir una imagen en celebración colectiva.	The circular repetition of the refrain rides guitar and percussion until an image becomes a collective celebration.	La répétition circulaire du refrain s’appuie sur la guitare et les percussions jusqu’à transformer une image en célébration collective.
