id	es	en	fr
album-051	Una despedida amorosa cantada desde el punto en que la elegancia ya no puede ocultar el dolor.	A farewell to love sung from the point where elegance can no longer conceal pain.	Un adieu à l’amour chanté depuis l’endroit où l’élégance ne peut plus dissimuler la douleur.
album-052	Una banda llena de personalidades convierte la historia del jazz en una discusión todavía viva.	A band of vivid personalities turns jazz history into an argument that is still alive.	Un groupe aux personnalités fortes transforme l’histoire du jazz en débat toujours vivant.
album-018	El momento en que una nueva manera de respirar volvió más ligera toda la canción brasileña.	The moment a new way of breathing made the whole of Brazilian song feel lighter.	Le moment où une nouvelle manière de respirer a allégé toute la chanson brésilienne.
album-011	Cinco músicos encuentran una serenidad que depende de escuchar antes de responder.	Five musicians find a serenity built on listening before answering.	Cinq musiciens trouvent une sérénité fondée sur l’écoute avant la réponse.
album-053	Una puerta hacia la libertad que conserva melodía, humor y una intensa atención al otro.	A doorway to freedom that retains melody, humour and intense attention to others.	Une porte vers la liberté qui conserve mélodie, humour et attention aiguë aux autres.
album-054	La electricidad de una noche en la que escenario y público terminan respirando juntos.	The electricity of a night when stage and audience end up breathing together.	L’électricité d’une nuit où la scène et le public finissent par respirer ensemble.
album-012	Una búsqueda espiritual que avanza con la concentración de una ceremonia compartida.	A spiritual search moving with the concentration of a shared ceremony.	Une quête spirituelle portée par la concentration d’une cérémonie partagée.
album-055	Una intérprete capaz de convertir deseo, rabia y trance en partes de una misma verdad.	A performer able to turn desire, anger and trance into parts of the same truth.	Une interprète capable de faire du désir, de la colère et de la transe les faces d’une même vérité.
album-056	La soledad adolescente recibe aquí una arquitectura tan compleja como sus propias emociones.	Adolescent loneliness is given an architecture as complex as its own emotions.	La solitude adolescente trouve ici une architecture aussi complexe que ses émotions.
album-013	Un grupo deja atrás sus límites físicos y descubre que el estudio también puede imaginar.	A band leaves its physical limits behind and discovers that the studio can imagine too.	Un groupe dépasse ses limites physiques et découvre que le studio peut lui aussi imaginer.
album-014	Canciones que miran el amor, la tierra y la muerte con una lucidez difícil de separar de la ternura.	Songs that regard love, land and death with a lucidity inseparable from tenderness.	Des chansons qui regardent l’amour, la terre et la mort avec une lucidité indissociable de la tendresse.
album-015	La voz de una mujer transforma experiencias privadas en una autoridad que cualquiera puede reconocer.	A woman’s voice turns private experience into an authority anyone can recognize.	La voix d’une femme transforme l’expérience intime en une autorité que chacun peut reconnaître.
album-016	Un debut que todavía conserva el peligro de abrir una puerta sin saber qué habrá del otro lado.	A debut that still carries the danger of opening a door without knowing what waits beyond it.	Un premier album qui garde encore le danger d’une porte ouverte sans savoir ce qui attend derrière.
album-057	Una imaginación sin bordes convierte el blues, el ruido y el espacio en materia maleable.	A boundless imagination turns blues, noise and space into malleable material.	Une imagination sans frontières transforme blues, bruit et espace en matière malléable.
album-017	La tradición brasileña entra en contacto con una juventud dispuesta a desmontarlo todo jugando.	Brazilian tradition meets a generation ready to take everything apart through play.	La tradition brésilienne rencontre une jeunesse prête à tout démonter en jouant.
album-058	Ocho canciones se mueven como recuerdos que cambian cada vez que intentamos alcanzarlos.	Eight songs move like memories that change each time we try to reach them.	Huit chansons avancent comme des souvenirs qui changent chaque fois qu’on tente de les rejoindre.
album-059	Un manifiesto colectivo que responde a un país contradictorio con irreverencia, belleza y montaje.	A collective manifesto answering a contradictory country with irreverence, beauty and montage.	Un manifeste collectif qui répond à un pays contradictoire par l’irrévérence, la beauté et le montage.
album-060	Una intimidad reservada que nunca confunde hablar bajo con tener poco que decir.	A guarded intimacy that never mistakes speaking softly for having little to say.	Une intimité réservée qui ne confond jamais parler doucement et avoir peu à dire.
album-061	La paciencia abre un camino desde la meditación hasta un éxtasis que sigue siendo colectivo.	Patience opens a path from meditation to an ecstasy that remains collective.	La patience ouvre un chemin de la méditation vers une extase qui reste collective.
album-062	El miedo moderno encuentra una forma pesada, directa y mucho más variada de lo que su leyenda sugiere.	Modern fear finds a heavy, direct form far more varied than its legend suggests.	La peur moderne trouve une forme lourde et directe, bien plus variée que ne le laisse croire sa légende.
album-063	Una música suspendida entre la tierra y algo que parece continuar mucho más allá de ella.	Music suspended between the earth and something that seems to continue far beyond it.	Une musique suspendue entre la terre et quelque chose qui semble se poursuivre bien au-delà.
album-064	Una banda convierte la resistencia física y el accidente en una aventura de larga duración.	A band turns physical endurance and accident into a long-form adventure.	Un groupe transforme l’endurance physique et l’accident en aventure au long cours.
album-021	Una obra donde la precisión del lenguaje vuelve imposible mirar hacia otro lado.	A work in which precision of language makes looking away impossible.	Une œuvre où la précision du langage rend impossible tout détournement du regard.
album-065	Un compositor prueba distintas identidades sin apresurarse a elegir una definitiva.	A songwriter tries on different identities without rushing to choose a final one.	Un auteur essaie plusieurs identités sans se presser d’en choisir une définitive.
album-066	El deseo y la duda permanecen tan cerca que cualquier movimiento podría romper el equilibrio.	Desire and doubt remain so close that any movement could break the balance.	Le désir et le doute restent si proches que le moindre mouvement pourrait rompre l’équilibre.
album-049	Un viaje desde el vacío más doloroso hasta el exceso más alegre sin perder identidad en el trayecto.	A journey from the deepest emptiness to the most joyful excess without losing identity along the way.	Un voyage du vide le plus douloureux à l’excès le plus joyeux sans perdre son identité en chemin.
album-067	La modernidad de Tokio aparece en canciones que avanzan con la calma de quien observa desde una ventana.	Modern Tokyo appears in songs moving with the calm of someone watching from a window.	La modernité de Tokyo apparaît dans des chansons qui avancent avec le calme d’un regard posé depuis une fenêtre.
album-005	Una confesión adulta que entiende que mostrarse vulnerable también exige una forma rigurosa.	An adult confession that understands vulnerability also requires rigorous form.	Une confession adulte qui comprend que la vulnérabilité exige elle aussi une forme rigoureuse.
album-002	Una crisis social completa narrada con la cercanía de una conversación entre vecinos.	A complete social crisis told with the closeness of a conversation among neighbours.	Une crise sociale entière racontée avec la proximité d’une conversation entre voisins.
album-068	Una fantasía breve y turbia cuya belleza nunca permite olvidar quién controla el relato.	A brief, murky fantasy whose beauty never lets us forget who controls the story.	Une fantaisie brève et trouble dont la beauté ne laisse jamais oublier qui contrôle le récit.
album-069	Cada giro revela otra habitación dentro de una obra que parecía imposible de contener en un solo disco.	Every turn reveals another room inside a work that seemed impossible to contain on one record.	Chaque détour révèle une nouvelle pièce dans une œuvre qui semblait impossible à contenir sur un seul disque.
album-019	Una comunidad inventada entre montañas, trenes, amistad y la posibilidad de otro Brasil.	An imagined community of mountains, trains, friendship and the possibility of another Brazil.	Une communauté imaginée entre montagnes, trains, amitié et possibilité d’un autre Brésil.
album-070	La alegría de vivir, tocar y discutir bajo el mismo techo convertida en método de trabajo.	The joy of living, playing and arguing under one roof turned into a working method.	La joie de vivre, jouer et discuter sous le même toit devenue méthode de travail.
album-071	Una obra frágil y desafiante que protege su misterio sin cerrarle la puerta al oyente.	A fragile, defiant work that protects its mystery without closing the door on the listener.	Une œuvre fragile et insoumise qui protège son mystère sans fermer la porte à l’auditeur.
album-020	La vida cotidiana examinada con una curiosidad musical que nunca acepta respuestas fáciles.	Everyday life examined with a musical curiosity that never accepts easy answers.	Le quotidien observé avec une curiosité musicale qui n’accepte aucune réponse facile.
